DATE,DSF,OPEN SD,COMMENTS
30-Dec-16,0.1,NA,
31-Dec-16,6.5,NA,
01-Jan-17,0,NA,
02-Jan-17,0,31.5,
03-Jan-17,0,NA,
04-Jan-17,0,NA,
05-Jan-17,0.5,NA,
06-Jan-17,1.5,31.17,
07-Jan-17,0,NA,
08-Jan-17,0,NA,
09-Jan-17,0,NA,
10-Jan-17,0,30.67,
11-Jan-17,0,NA,
12-Jan-17,0,NA,
13-Jan-17,1,32.5,
14-Jan-17,0.1,30.67,
15-Jan-17,0,NA,* checked snow camera
16-Jan-17,1.4,NA,
17-Jan-17,0,30.67,
18-Jan-17,0,31.33,
19-Jan-17,2.3,NA,
20-Jan-17,0.1,NA,
21-Jan-17,0,NA,
22-Jan-17,0.1,26.5,
23-Jan-17,0.6,34.83,
24-Jan-17,0,33.33,
25-Jan-17,3,NA,* based on camera
26-Jan-17,0,NA,
27-Jan-17,9,38.5,
28-Jan-17,5.5,40.83,
29-Jan-17,4.5,44.83,
30-Jan-17,1,45.33,
31-Jan-17,0,NA,
01-Feb-17,0,NA,
02-Feb-17,0,41,
03-Feb-17,0,NA,
04-Feb-17,0,NA,
05-Feb-17,0,NA,
06-Feb-17,0.1,39.67,
07-Feb-17,0,39.5,
08-Feb-17,0,NA,
09-Feb-17,0.5,38,
10-Feb-17,1.3,37.33,
11-Feb-17,1.2,41,
12-Feb-17,10,45.17,
13-Feb-17,7,46.5,
14-Feb-17,26,57.5,
15-Feb-17,0,NA,
16-Feb-17,0.2,63.33,
17-Feb-17,0,57.33,
18-Feb-17,0,61.67,
19-Feb-17,0,61.67,
20-Feb-17,0,52.33,
21-Feb-17,0,NA,
22-Feb-17,0.1,60,
23-Feb-17,0,50.17,
24-Feb-17,0,46.33,
25-Feb-17,5,55.83,
26-Feb-17,0.1,53.33,
27-Feb-17,0.5,58,
28-Feb-17,0,NA,
01-Mar-17,2,55.67,
02-Mar-17,1.2,56.5,
03-Mar-17,6,57.66666667,"snowboard windblown, min 2.5 max 6"
04-Mar-17,0,NA,silver sled race
05-Mar-17,0,NA,silver sled race
06-Mar-17,0.3,54.33333333,
07-Mar-17,0,58,
08-Mar-17,0,NA,"missed measurements, hare snares for Darcy"
09-Mar-17,0,NA,dogsledding/day off
10-Mar-17,0,56.33333333,
11-Mar-17,0,56.33333333,
12-Mar-17,0,56.33333333,
13-Mar-17,1,54.33333333,
14-Mar-17,0.2,57,
15-Mar-17,2,58.33333333,
16-Mar-17,4,NA,day off * Mike moved 4cm to today from the 17th based o snow camera
17-Mar-17,0,56,
18-Mar-17,0,NA,hair snares
19-Mar-17,0,54.66666667,
20-Mar-17,0.1,53.66666667,
21-Mar-17,2.5,58.33333333,
22-Mar-17,2.5,58.83333333,
23-Mar-17,1,56.5,
24-Mar-17,0,NA,hair snares
25-Mar-17,1,56.16666667,
26-Mar-17,0,NA,not taken
27-Mar-17,0,NA,not taken…checked cameras to make sure
28-Mar-17,4,61.66666667,
29-Mar-17,0,53,
30-Mar-17,0,NA,
31-Mar-17,0,NA,
01-Apr-17,0,54.83333333,
02-Apr-17,0,NA,
03-Apr-17,0,NA,
04-Apr-17,0,48.66666667,
05-Apr-17,0,NA,no time
06-Apr-17,0,NA,no time
07-Apr-17,0,49,
08-Apr-17,0,NA,
09-Apr-17,0,NA,
10-Apr-17,0,NA,
11-Apr-17,0,46,
12-Apr-17,0,NA,
13-Apr-17,0,NA,
14-Apr-17,0,NA,
15-Apr-17,0,NA,
16-Apr-17,0,44.67,
17-Apr-17,4,NA,
18-Apr-17,0,NA,
19-Apr-17,0,38.83,
20-Apr-17,0,NA,
21-Apr-17,0,NA,
22-Apr-17,0,36.5,
23-Apr-17,0,NA,
24-Apr-17,0,NA,
25-Apr-17,0,26.67,
26-Apr-17,0,NA,
27-Apr-17,0,NA,
28-Apr-17,0,19.83,
29-Apr-17,0,NA,
30-Apr-17,0,NA,
01-May-17,0,NA,
02-May-17,0,9.5,
03-May-17,4,8.33,
04-May-17,0,NA,
05-May-17,0,NA,
06-May-17,0,6.67,
07-May-17,0,NA,
08-May-17,0,2.5,
09-May-17,0,NA,
10-May-17,0,NA,
11-May-17,0,0,
12-May-17,0,0,
13-May-17,0,0,
14-May-17,0,0,
15-May-17,0,0,
16-May-17,0,0,
17-May-17,0,0,
18-May-17,0,0,
19-May-17,0,0,
20-May-17,0,0,
21-May-17,0,0,
22-May-17,0,0,
23-May-17,0,0,
24-May-17,0,0,
25-May-17,0,0,
26-May-17,0,0,
27-May-17,0,0,
28-May-17,0,0,
29-May-17,0,0,
30-May-17,0,0,
31-May-17,0,0,
01-Jun-17,0,0,
02-Jun-17,0,0,
03-Jun-17,0,0,
04-Jun-17,0,0,
05-Jun-17,0,0,
06-Jun-17,0,0,
07-Jun-17,0,0,
08-Jun-17,0,0,
09-Jun-17,0,0,
10-Jun-17,0,0,
11-Jun-17,0,0,
12-Jun-17,0,0,
13-Jun-17,0,0,
14-Jun-17,0,0,
15-Jun-17,0,0,
16-Jun-17,0,0,
17-Jun-17,0,0,
18-Jun-17,0,0,
19-Jun-17,0,0,
20-Jun-17,0,0,
21-Jun-17,0,0,
22-Jun-17,0,0,
23-Jun-17,0,0,
24-Jun-17,0,0,
25-Jun-17,0,0,
26-Jun-17,0,0,
27-Jun-17,0,0,
28-Jun-17,0,0,
29-Jun-17,0,0,
30-Jun-17,0,0,
01-Jul-17,0,0,
02-Jul-17,0,0,
03-Jul-17,0,0,
04-Jul-17,0,0,
05-Jul-17,0,0,
06-Jul-17,0,0,
07-Jul-17,0,0,
08-Jul-17,0,0,
09-Jul-17,0,0,
10-Jul-17,0,0,
11-Jul-17,0,0,
12-Jul-17,0,0,
13-Jul-17,0,0,
14-Jul-17,0,0,
15-Jul-17,0,0,
16-Jul-17,0,0,
17-Jul-17,0,0,
18-Jul-17,0,0,
19-Jul-17,0,0,
20-Jul-17,0,0,
21-Jul-17,0,0,
22-Jul-17,0,0,
23-Jul-17,0,0,
24-Jul-17,0,0,
25-Jul-17,0,0,
26-Jul-17,0,0,
27-Jul-17,0,0,
28-Jul-17,0,0,
29-Jul-17,0,0,
30-Jul-17,0,0,
31-Jul-17,0,0,
01-Aug-17,0,0,
02-Aug-17,0,0,
03-Aug-17,0,0,
04-Aug-17,0,0,
05-Aug-17,0,0,
06-Aug-17,0,0,
07-Aug-17,0,0,
08-Aug-17,0,0,
09-Aug-17,0,0,
10-Aug-17,0,0,
11-Aug-17,0,0,
12-Aug-17,0,0,
13-Aug-17,0,0,
14-Aug-17,0,0,
15-Aug-17,0,0,
16-Aug-17,0,0,
17-Aug-17,0,0,
18-Aug-17,0,0,
19-Aug-17,0,0,
20-Aug-17,0,0,
21-Aug-17,0,0,
22-Aug-17,0,0,
23-Aug-17,0,0,
24-Aug-17,0,0,
25-Aug-17,0,0,
26-Aug-17,0,0,
27-Aug-17,0,0,
28-Aug-17,0,0,
29-Aug-17,0,0,
30-Aug-17,0,0,
31-Aug-17,0,0,
01-Sep-17,0,0,didn’t measure spruce SD and Sh the last year
02-Sep-17,0,0,
03-Sep-17,0,0,
04-Sep-17,0,0,
05-Sep-17,0,0,
06-Sep-17,0,0,
07-Sep-17,0,0,
08-Sep-17,0,0,
09-Sep-17,0,0,
10-Sep-17,0,0,
11-Sep-17,0,0,
12-Sep-17,0,0,
13-Sep-17,0,0,
14-Sep-17,0,0,
15-Sep-17,0,0,
16-Sep-17,0,0,
17-Sep-17,0,0,
18-Sep-17,0,0,
19-Sep-17,0,0,
20-Sep-17,0,0,
21-Sep-17,0,0,
22-Sep-17,0,0,
23-Sep-17,0,0,
24-Sep-17,0,0,
25-Sep-17,0,0,
26-Sep-17,0,0,
27-Sep-17,0,0,
